АПАТ,apat
БҮРКIТ,burkit
ДАР,dar
ӘСКЕР,asker
АЙТЫС,aitys
ЖIГIТ,zhigit
АҢШЫ,anshy
БЕТ,bet
АУРУ,auru
ГҮЛ,gul
ДЕМ,dem
АЙБАЛТА,aibalta
ДОРБА,dorba
ЕСКI,eski
БҮКТЕУ,bukteu
ДИIРМЕН,diyrmen
ӘРIП,arip
АУА,aua
АРЛАН,arlan
БАСТЫҚ,bastyk
АЛШЫ,alshy
АСЫҚ,asyk
АЯЛДАМА,ayaldama
АҚСАҚ,aksak
АРПА,arpa
АҒАРҒАН,agargan
АПТА,apta
ӘМIР,amir
АЙГҮЛ,aigul
ӘТЕШ,atesh
ӘНҰРАН,anuran
ДӘУIТ,dauit
БАЛДАҚ,baldak
БАЛШЫҚ,balshyk
АСТАНА,astana
БЕНЗИН,benzin
АҚШАҚАР,akshakar
ЕЛТАҢБА,eltanba
АНАР,anar
БАРХАН,barhan
БОЛЖАМ,bolzham
БУМА,buma
АЛҚА,alka
БИЕ,bie
АЖЫРАСУ,azhyrasu
БӨКЕН,boken
БҰЛДЫР,buldyr
БҰЛАҚ,bulak
ӘЙНЕК,ainek
АТА,ata
БАЛТА,balta
БОРАН,boran
БАПКЕР,bapker
АЗАН,azan
АЛАША,alasha
ӘЛДИЛЕУ,aldile
БОТҚА,botka
АРАБ,arab
ДАҚ,dak
ӘРТIС,artis
ДИЕТА,dieta
ЖIП,zhip
ЕСЕП,esep
ӘНШI,anshi
ЕГIЗ,egiz
БАС,bas
ЕЖЕЛГI,ezhelgi
АҚСАҚАЛ,aksakal
БАЛ,bal
АДЫРНА,adyrna
БАТЫС,batys
ЖIБЕК,zhibek
АУЫЗДЫҚ,auizdik
БҰРАУ,burau
ВОКЗАЛ,vokzal
ГАЗ,gaz
АҒЫС,agys
ӘЖЕ,azhe
АРҚАН,arkan
ӘУЕЖАЙ,auezhai
ЕШКI,eshki
БАЛДЫР,baldyr
БОТА,bota
АРЫСТАН,arystan
БАЛЫҚ,balyk
БАСПА,baspa
БОМБА,bomba
АЛМҰРТ,almurt
БАУЫР,bauir
БАЙҚА,baika
АЛТЫН,altyn
ӘКIМ,akim
ЕҢБЕК,enbek
ДЕНЕ,dene
ЕДЕН,eden
ЕЛЕС,eles
ДАУЫЛ,dauil
ДОНОР,donor
АЙҒЫЗ,aigyz
ЕЗУ,ezu
АЙҒЫР,aigyr
БӨЛУ,bolu
ГАУҺАР,gauhar
ӘЛIППЕ,alippe
ӘЗIЛ,azil
ДЕСЕРТ,desert
БАЛҒА,balga
АҚЫН,akyn
АЯҚ,ayak
ЕГЕУ,egeu
АҚША,aksha
БАРМАҚ,barmak
БҰЛТ,bult
АЙДАҺАР,aidahar
АБАҚТЫ,abakty
ДАУЫС,dauis
БАЛАПАН,balapan
БАҚША,baksha
ДИҚАН,dikan
БҰРҒЫ,burgy
ДАҚЫЛ,dakyl
АСТЫҚ,astyk
АЗАТ,azat
ЕСЕК,esek
ДАРБАЗА,darbaza
ГИТАРА,gitara
АКУЛА,akula
АЙ,ai
БIЛЕЗIК,bilezik
ЕРТЕГI,ertegi
АЙЫР,aiyr
АЛА,ala
ӘШЕКЕЙ,ashekei
БЕКIНIС,bekinis
АДЫМ,adym
АҒАЙЫН,again
БИIК,biyk
ДУАДАҚ,duadak
ЕТЕК,etek
